image_name,image_path,website,source,page,text,category,severity
hotel_0.png,data\raw\agoda\hotel_0.png,agoda,Real,,"UMS Q Text search Your budget (per night) MIN MAX 7 Rs. 1,46,690 Popular filters for Mumbai Refrigerator Bathtub Balcony/terrace Smoking area Family/child friendly Restaurants Front desk [24-hour] Book without credit card OOO0O0000 Residency Hotel Andheri ***4 @ Andheri East, Mumbai - 0.4 km to center 196 m from Western Express Highway + 3.5 km from Juhu Beach @ Agoda Preferred @ Coupon Code WEEKENDSALE applied - Rs. 1,530 off! Hotel cliffton **** @ Andheri West, Mumbai - 3.6 km to center 2025 Award 918 m from Oshiwara Station + 3.5 km from Juhu Beach — Booked 29 times today = r>] @ Agoda Preferred @ Coupon Code WEEKENDSALE applied - Rs. 605 off! 8.0 Excellent 1,412 reviews 8.3 Location score ‘Be Rs. 1,530 applied Per night after taxes and fees 12,836 -66% Rs. 4,381 7.6 Very good 2,552 reviews (1) ‘HE Rs. 605 applied Per night after taxes and fees 12,351 -72% rs. 3,490 a + FREE CANCELLATION",,
hotel_1.png,data\raw\agoda\hotel_1.png,agoda,Real,,"L_J Vile Parle (155) ai 7.8 Very good 2,981 reviews Hotel Parle International *** Panvel (105. "" @ Vile Parle, Mumbai - 1.6 km to center 7 QO (708) ‘ . ‘ A 165 m from Vile Parle Railway Station - 2.0 km from 8.5 Location score ivali i Dh, Juhu Beach oO Borivali (96) y ‘ Top attractions Z ' Booked 17 times today ° : ‘BE Rs. 454 applied oO Khar (89) Per night after taxes and fees Beach, Nightlife _759 16,749 -75% Show 25 more Vv Rs. 4,187 @ Coupon Code WEEKENDSALE applied - Rs. 454 off! + FREE CANCELLATION Payment options Ginger Mumbai, Andheri 6.6 Good (MIDC) * &* 2,514 reviews @ Andheri East, Mumbai - 0.5 km to center ONLY 3 LEFT oO Free cancellation (2122) (Pay at the hotel (1122) oO P. (1822) 1.2 km from Chakala - J.B. Nagar + 4.7 km from Juhu r) ay Now Beach 'H Rs. 634 applied oO Book without credit card (319) Booked 13 times today Per night after taxes and fees 14,422 -62% Star rating oO Agoda Luxe (11) [TD te tee tee (134) [te ete e (397) rs. 0,413 @ Coupon Code WEEKENDSALE applied - Rs. 634 off! + FREE CANCELLATION 8.2 Excellent 3,273 reviews Lemon Tree Premier, Mumbai International Airport **** M Andheri Fact Miumhai . City canter T1 eee A7R) 8.6 Location score",,
hotel_10.png,data\raw\agoda\hotel_10.png,agoda,Real,,travel_2.png,,
hotel_11.png,data\raw\agoda\hotel_11.png,agoda,Real,,"- - 1 May 2026 2 May 2026 2 adults Q. Hotel Airport International SJ Friday 3 Saturday Be Overview Rooms Trip recommendations Facil Reviews Location > fom Rs. 0,760 QiZaVagT Sy Back to Top # WwW Bar Airport transter Family room W Luggage’storage Gauas ¢ Daily Internet/Wi-Fi fee: 337 INR Full policy About us Hotel Airport International—steps from Mumbai Domestic Airport and Vile Parle station—perfect for two travelers needing quick... Read more This property is in high demand! 16 travelers have booked today. Select your room Q We price match! Email property WY Free cancellation @ Pay at the hotel od Non-smoking BA Twin Bed it City view Cj Quick Answers =",,
hotel_12.png,data\raw\agoda\hotel_12.png,agoda,Real,,"(J Double (333) [J Single/twin (290) King (184) [) Queen (178) (J Bunk bed (8) Popular with families oO Kids stay for free Location rating O 9+ Exceptional (52) O 8+ Excellent (244) O 7+ Very good (391) Looking for something special? 4 May 2026 Friday fF] 2 May 2026 2 adults — Saturday _ & 2025 Award Hotel cliffton **** 7.6 Very good @ Andheri West, Mumbai - 3.6 km to center 2,552 reviews 918 m from Oshiwara Station + 3.5 km from Juhu Beach ON EFT Booked 29 times today (1) ‘Be Rs. 605 applied @ Agoda Preferred Per night after taxes and fees ® Best price for 4-star properties 12,391 -72% ns. 3,490 a @ Coupon Code WEEKENDSALE applied - Rs. 605 off! + FREE CANCELLATION Hotel Sterling Executive *** New to Agoda @ Navi Mumbai, Mumbai - 13.8 km to center 1.1 km from Turbhe Railway Station ONLY 5 LEFT ‘BE Rs. 396 applied Per night after taxes and fees. 2,363 17% O @ Coupon Code WEEKENDSALE applied - Rs. 396 off! rs. 1 ;966 a",,
hotel_13.png,data\raw\agoda\hotel_13.png,agoda,Real,,"Q Hotel Airport International 5 imay 2026 Overview Rooms Dee pnorws Executive Single Room 13 m7/140 ft? Max1adult 1 single bed & City view 'S Private bathroom (® Shower & Internet access — wireless ¥& Blackout curtains ®& Air conditioning @ Free bottled water & Refrigerator & Extra long bed Quick Answers Email property Trip recommendations = 2 May 2026 3 Saturday Location > Facil Reviews a 1 adult Room capacity exceeded @ © Free Cancellation @ Y Pay at hotele Y Parking vy Express check-in v Free WiFi See details a 1 adult Room capacity exceeded @ { Breakfast Included © Free Cancellation @ Y Book and pay now Y Parking vy Express check-in op Denn WARE: aR 2 adults Vv 1 room won Rs. 3,760 Back to Top BAT 569 -73% 1 room v 23,150 per night with taxes Book FREE Cancellation B44 569 -70% Last 3 rooms! 1room Vv KE Rs. 255 applied 23,420 Book per night with taxes FREE Cancellation Last 3 rooms!",,
hotel_15.png,data\raw\agoda\hotel_15.png,agoda,Real,,"Crivago Destination x Check-in/out Guests and rooms | Mumbai 1 May - 2 May 2 Guests, 1 Room @) = Filters (1) Price & Re... V Price Vv Location Vv < city centre Breakfast included Free cancellation WiFi Parking Restaurant More stays you may like | We found 404 hotels from 180 sites How payments to us affect ranking (@) S x FabExpress Orange Suite *** at Agoda Ls a Hi @ 01.128 ratings) Y Free cancellation “ 9 3.1 km to City centre Our lowest price wNSlLE *~: Budget-friendly stay in Mumbai, 31,904 View > >"" — Inviting lobby with on-site fireplace Past week: %2,299 ean —~- Navi Mumbai ae iG %2,326 Booking.com a oe id ass v %2,314 Priceline N ; ; Treebo Tryst Widlor Boutique ell NN kh Treebo Hotels (Goo gl b i, Location data from OpenStreetMaps . ; Mboteot & Book direct with hotel 3 MapData 10km Terms Report a map error @® Very good (719 ratings)",,
hotel_16.png,data\raw\agoda\hotel_16.png,agoda,Real,,"@) Crivago Destination x Check-infout Guests and rooms Mumbai 7 May - 21 May 2 Guests, 1 Room = Filters (1) Sortby v Price v Location V Hot deals Hotels Rating: 8.0+ Near city centre Breakfast included Free cancellation * > We found 249 hotels from 180 sites How payments to us affect ranking @) ; Bneyand Bhiwandi 9 4.5 km to City centre 35,495 > Lael . . 276,933 total *% On-site restaurant with bar, Outdoor swimming pool with waterfall %5,120 Agoda v Locomo Mumbai - Stay Work Eat Hostelworld a v Free cancellation Hostel @ Excellent (2,537 ratings) . 5,775 Q 4.3 km to City centre %80,850 total > *: Expansive rooftop terrace with city a y , i 4 views, Thoughtfully designed dorms... %5,700 Booking.com v (Google Location data from Open EB MapData 10kmL—_______1 ""Terms Report a map error",,
hotel_17.png,data\raw\agoda\hotel_17.png,agoda,Real,,"/ Destination Crivago Mumbai = Filters (1) Sortby v Price Vv Location V We found 249 hotels from 180 sites (210 ratings) 9 10.3 km to City centre Ramee Guestline Hotel Dadar kak @ Very good (6,087 ratings) 9 7.4 km to City centre *~: Multiple on-site dining options, Wellness amenities including sauna Gluinanor Miumbkaj Garansan +++ Check-in/out 7 May - 21 May Hot deals Hotels Rating: 8.0+ & Book direct with hotel v Free cancellation Y Breakfast included 33,988 "" 255,837 total View Deal > Expedia v Free cancellation before 6 May 35,645 «9,083 379,035 total View Deal > %5,529 Agoda %6,813 MakeMyTrip Guests and rooms 2 Guests, 1 Room Near city centre Google’ Breakfast included Bhayandar EB Map Data @) Free cancellation * > How payments to us affect ranking @) Bhiwandi > Location data from Open 10km L______4 ""Terms Report a map error",,
hotel_18.png,data\raw\agoda\hotel_18.png,agoda,Real,,"@) = Filters (1) Sortby v Price v Location V Hot deals Hotels Rating: 8.0+ Near city centre Breakfast included Free cancellation * > Crivago Destination x Check-infout Guests and rooms Map area 7 May - 21 May 2 Guests, 1 Room How payments to us affect ranking @) We found 296 hotels from 180 sites rooms with smart televisions 5,980 Agoda v Sky suites by Monarch *** CREREED Tip.com asai-Virar Good (1,008 ratings) Y Free cancellation > 9 Navi Mumbai, 13.3 km to Mumbai 5,403 - %4,502 of * Panoramic city and wetland views, 263,024 total Event and wedding facilities %4,495 Agoda v The Fern Residency Mumbai, Mir... hk Marriott Bonvoy & Book direct with hotel aw <A Location data from OpenStreetMaps EB MapData 20kmL—____1_ Terms_ Report a map error Google’ @® Very good (8 ratings)",,
